Data;Descrição;Valor;Categoria;Conta
01/08/2026;Supermercado Pão de Açúcar;-283,20;Alimentação & Supermercado;Nubank Conta Principal
02/08/2026;Posto Shell Av Paulista;-180,00;Transporte & Combustível;Nubank Conta Principal
05/08/2026;Salário Empresa Tecnologia;8.500,00;Salário & Renda;Nubank Conta Principal
08/08/2026;Farmácia Drogasil Loja 92;-94,50;Saúde & Farmácia;Nubank Conta Principal
10/08/2026;Amazon Prime Mensalidade;-19,90;Assinaturas & Lazer;Nubank Platinum
12/08/2026;Padaria Primavera Café;-32,00;Alimentação & Supermercado;Nubank Conta Principal
15/08/2026;Conta de Luz CPFL Paulista;-487,00;Moradia & Energia;Nubank Conta Principal
18/08/2026;Internet Fibra Residencial;-149,90;Moradia & Energia;Nubank Conta Principal
22/08/2026;Supermercado Carrefour Bairro;-315,60;Alimentação & Supermercado;Nubank Conta Principal
25/08/2026;Restaurante Família Domingo;-210,00;Alimentação & Supermercado;Nubank Platinum
